image_id,label,filename,set,uid,record_id,label_predicted,score_predicted,e_0,e_1,in_test,label_true,labeled,color_prob,color_class,label_undetermined,scores_predicted,label_possible,score_possible,entropy,al_measure,most_needed,fre,incorrect_score,double_checked,dp_is_ldp,dp_depth,dp_depth_alt,dp_parent,display_order,num_children,dp_cluster,num_children_alt,dp_cluster_color,dp_most_needed,direct_most_needed,score_true,color_fre
RMNH_MOL_217454_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_217454_1.jpg,,RMNH_MOL_217454_1,RMNH_MOL_217454_1R,Shell,1.0,-7.4013844,-13.728449,0,Shell,1,#800080,#9c9ede,,1.0,,,-0.0,18272,66.0,0.949299284969812,0.61,1,0,18276,15,8587,8994,0,6.0,0,#482173,66.0,18272,1.0,#ece51b
RMNH_MOL_186544_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_186544_1.jpg,,RMNH_MOL_186544_1,RMNH_MOL_186544_1R,Label only,1.0,-4.27279,-17.284191,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18273,8,483,5374,2,17.0,1,#3a548c,66.0,18272,,#440154
RMNH_MOL_223967,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_223967.jpg,,RMNH_MOL_223967,RMNH_MOL_223967R,Shell,1.0,-15.009511,10.295853,0,Shell,1,#800080,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9590746481569496,0.61,1,0,18278,13,12969,18265,0,31.0,0,#228b8d,66.0,18272,1.0,#f1e51d
RMNH_MOL_179034_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_179034_1.jpg,,RMNH_MOL_179034_1,RMNH_MOL_179034_1R,Label only,1.0,-2.9565258,-13.584053,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18271,18,6319,4437,4,1.0,1,#450559,66.0,18272,,#440154
RMNH_MOL_183617_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_183617_1.jpg,,RMNH_MOL_183617_1,RMNH_MOL_183617_1R,Shell,1.0,-6.363823,9.746056,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9339042011249084,0.61,0,0,18273,23,2363,5372,0,57.0,0,#addc30,66.0,18272,,#e5e419
RMNH_MOL_142311,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_142311.jpg,,RMNH_MOL_142311,RMNH_MOL_142311R,Shell,1.0,-9.315438,16.700668,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9658989944745678,0.61,0,0,18274,14,15156,6367,11,3.0,3,#471164,66.0,18272,,#f8e621
RMNH_MOL_174012_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_174012_1.jpg,,RMNH_MOL_174012_1,RMNH_MOL_174012_1R,Label only,1.0,-2.8890724,-18.337431,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18274,13,4431,6368,6,10.0,1,#453581,66.0,18272,,#440154
ZMA_MOLL_50645,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_50645.jpg,,ZMA_MOLL_50645,ZMA_MOLL_50645R,Shell,1.0,-9.706045,15.178829,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9318288325001092,0.61,0,0,18276,11,10850,9028,0,9.0,0,#46307e,66.0,18272,,#dfe318
RMNH_MOL_186525_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_186525_1.jpg,,RMNH_MOL_186525_1,RMNH_MOL_186525_1R,Label only,1.0,-3.3674355,-16.857107,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.8608098124703172,0.61,0,1,17959,7,17953,64,8,15.0,1,#3d4d8a,66.0,18272,,#b0dd2f
RMNH_MOL_169647,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_169647.jpg,,RMNH_MOL_169647,RMNH_MOL_169647R,Shell,0.6410113614115699,-8.220028,13.804867,0,,0,#2cb17e,#9c9ede,,0.64,Label only,0.36,0.9418404797235898,18272,66.0,0.8841353943827079,0.61,0,0,18276,11,9432,9029,3,9.0,1,#46307e,66.0,18272,,#c2df23
RMNH_MOL_313437_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_313437_1.jpg,,RMNH_MOL_313437_1,RMNH_MOL_313437_1R,Shell,1.0,-10.551486,13.449867,1,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9574051816674548,0.61,0,0,18276,14,17830,9030,3,0.0,1,#440154,66.0,18272,,#f1e51d
ZMA_MOLL_53985,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_53985.jpg,,ZMA_MOLL_53985,ZMA_MOLL_53985R,Shell,1.0,-13.537827,13.020702,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,17,3013,18264,0,21.0,0,#32658e,66.0,18272,,#440154
RMNH_MOL_148596,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_148596.jpg,,RMNH_MOL_148596,RMNH_MOL_148596R,Shell,1.0,-8.428356,13.366566,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9502040663351866,0.61,0,0,18276,18,11273,9031,130,,3,#800080,66.0,18272,,#ece51b
RMNH_MOL_148898,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_148898.jpg,,RMNH_MOL_148898,RMNH_MOL_148898R,Shell,1.0,-10.848311,14.618,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9631525260974276,0.61,0,0,18254,12,14560,893,8,54.0,3,#8ed645,66.0,18272,,#f8e621
RMNH_MOL_226244,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_226244.jpg,,RMNH_MOL_226244,RMNH_MOL_226244R,Shell,1.0,-8.864052,8.374329,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18274,15,10574,6373,0,4.0,0,#481769,66.0,18272,,#440154
ZMA_MOLL_12533,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_12533.jpg,,ZMA_MOLL_12533,ZMA_MOLL_12533R,Shell,1.0,-1.2709541,-7.1540833,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.7142658571902183,0.61,0,0,18272,8,14445,4753,29,18.0,3,#38598c,66.0,18272,,#52c569
RMNH_MOL_139919,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_139919.jpg,,RMNH_MOL_139919,RMNH_MOL_139919R,Shell,1.0,-16.669151,8.735825,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,19,9271,11817,0,0.0,0,#440154,66.0,18272,,#440154
ZMA_MOLL_96473,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_96473.jpg,,ZMA_MOLL_96473,ZMA_MOLL_96473R,Shell,1.0,-12.606667,16.72187,1,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,1,18260,11,14919,1447,4,2.0,1,#460b5e,66.0,18272,,#440154
RMNH_MOL_201315,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_201315.jpg,,RMNH_MOL_201315,RMNH_MOL_201315R,Shell,0.916660703033282,-1.6076508,-6.993537,0,,0,#c2df23,#9c9ede,,0.92,Tube,0.08,0.4138374807496912,18272,66.0,0.82906887990509,0.61,0,0,18276,8,961,9002,2,51.0,1,#70cf57,66.0,18272,,#9bd93c
RMNH_MOL_183703,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_183703.jpg,,RMNH_MOL_183703,RMNH_MOL_183703R,,0.048532598,-13.552092,17.131104,0,,0,#471063,#AAAAAA,,,,,-inf,18272,66.0,0.0,0.61,0,0,18276,16,9481,9003,0,0.0,0,#440154,66.0,18272,,#440154
ZMA_MOLL_2508723,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_2508723.jpg,,ZMA_MOLL_2508723,ZMA_MOLL_2508723R,Slide,1.0,17.864471,9.83765,0,,0,#fde725,#e7ba52,,1.0,,,-0.0,18272,66.0,0.929988442959956,0.61,0,0,18271,7,9443,4399,20,65.0,2,#fde725,66.0,18272,,#dfe318
RMNH_MOL_218661,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_218661.jpg,,RMNH_MOL_218661,RMNH_MOL_218661R,Shell,1.0,-9.787275,12.980663,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18276,17,8565,11798,9,4.0,1,#481769,66.0,18272,,#440154
ZMA_MOLL_50374,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_50374.jpg,,ZMA_MOLL_50374,ZMA_MOLL_50374R,Shell,1.0,-14.617144,6.14398,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.7481251005052203,0.61,0,0,18274,10,3068,6365,9,52.0,2,#7ad151,66.0,18272,,#69cd5b
ZMA_MOLL_40756,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_40756.jpg,,ZMA_MOLL_40756,ZMA_MOLL_40756R,Shell,1.0,-17.156721,14.325451,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9583192964576536,0.61,0,0,18266,11,14106,2505,10,26.0,1,#2a788e,66.0,18272,,#f1e51d
RMNH_MOL_147868,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_147868.jpg,,RMNH_MOL_147868,RMNH_MOL_147868R,Shell,1.0,-10.908128,17.102375,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9503727878694964,0.61,0,0,18276,15,11388,11797,0,0.0,0,#440154,66.0,18272,,#ece51b
RMNH_MOL_221072_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_221072_1.jpg,,RMNH_MOL_221072_1,RMNH_MOL_221072_1R,Shell,1.0,-17.33643,13.362343,1,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9384648780182482,0.61,0,0,18278,17,16963,11816,2,33.0,1,#20928c,66.0,18272,,#e5e419
RMNH_MOL_175748,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_175748.jpg,,RMNH_MOL_175748,RMNH_MOL_175748R,Shell,1.0,-8.122913,9.328884,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18275,12,14257,7782,0,14.0,0,#3f4889,66.0,18272,,#440154
RMNH_MOL_218697,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_218697.jpg,,RMNH_MOL_218697,RMNH_MOL_218697R,Shell,1.0,-10.593411,8.369427,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.8004882645171504,0.61,0,0,18275,14,17646,7767,4,53.0,1,#84d44b,66.0,18272,,#86d549
RMNH_MOL_224880_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_224880_1.jpg,,RMNH_MOL_224880_1,RMNH_MOL_224880_1R,Shell,1.0,-15.439627,10.076565,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9292500114065892,0.61,0,0,18270,15,11208,4023,0,33.0,0,#20928c,66.0,18272,,#dfe318
ZMA_MOLL_45584,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_45584.jpg,,ZMA_MOLL_45584,ZMA_MOLL_45584R,Shell,1.0,-13.298578,8.386257,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9253507381067668,0.61,0,0,18269,15,2805,3519,4,0.0,1,#440154,66.0,18272,,#dfe318
RMNH_MOL_216890_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_216890_1.jpg,,RMNH_MOL_216890_1,RMNH_MOL_216890_1R,Label only,1.0,-3.4388313,-16.957806,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.901333584293176,0.61,0,0,18265,8,18,2032,0,10.0,0,#453581,66.0,18272,,#cae11f
RMNH_MOL_232810_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_232810_1.jpg,,RMNH_MOL_232810_1,RMNH_MOL_232810_1R,Label only,1.0,-2.263605,-17.249928,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.8887742153405097,0.61,0,0,18271,12,8105,4478,0,1.0,0,#450559,66.0,18272,,#c2df23
ZMA_MOLL_2508859,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_2508859.jpg,,ZMA_MOLL_2508859,ZMA_MOLL_2508859R,Slide,0.984167093924804,18.818596,8.814184,1,,0,#f1e51d,#e7ba52,,0.98,Label only,0.02,0.1173557696962543,18272,66.0,0.7873407977219322,0.61,0,0,18278,9,12373,11814,0,63.0,0,#ece51b,66.0,18272,,#81d34d
RMNH_MOL_236788,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_236788.jpg,,RMNH_MOL_236788,RMNH_MOL_236788R,,0.030525018,-13.128483,19.290058,0,,0,#460b5e,#AAAAAA,,,,,-inf,18272,66.0,0.0,0.61,0,0,18235,13,1286,403,8,7.0,2,#482677,66.0,18272,,#440154
ZMA_MOLL_49999,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_49999.jpg,,ZMA_MOLL_49999,ZMA_MOLL_49999R,Shell,1.0,-15.579504,14.117996,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9376351100438968,0.61,0,0,18275,14,12985,7779,0,24.0,0,#2d718e,66.0,18272,,#e5e419
ZMA_MOLL_12893,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_12893.jpg,,ZMA_MOLL_12893,ZMA_MOLL_12893R,Shell,1.0,-8.008539,15.014797,1,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9555050609986886,0.61,0,0,18278,15,15068,11815,2,13.0,1,#414487,66.0,18272,,#f1e51d
ZMA_MOLL_42094,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_42094.jpg,,ZMA_MOLL_42094,ZMA_MOLL_42094R,Shell,1.0,-14.396801,9.993525,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9469124115475932,0.61,0,0,18273,15,2763,6329,5,5.0,1,#481c6e,66.0,18272,,#ece51b
RMNH_MOL_224949,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_224949.jpg,,RMNH_MOL_224949,RMNH_MOL_224949R,Shell,1.0,-10.300326,16.537628,1,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9224963005596506,0.61,0,0,18278,17,9364,11811,2,38.0,1,#20a486,66.0,18272,,#d8e219
RMNH_MOL_190601,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_190601.jpg,,RMNH_MOL_190601,RMNH_MOL_190601R,,0.05616962,-16.489233,10.44379,1,,0,#471365,#AAAAAA,,,,,-inf,18272,66.0,0.0,0.61,0,0,18270,13,6198,4024,274,,6,#800080,66.0,18272,,#440154
ZMA_MOLL_28540,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_28540.jpg,,ZMA_MOLL_28540,ZMA_MOLL_28540R,Shell,1.0,-15.52026,12.455582,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18273,17,17586,6330,0,34.0,0,#1f958b,66.0,18272,,#440154
RMNH_MOL_148905_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_148905_1.jpg,,RMNH_MOL_148905_1,RMNH_MOL_148905_1R,Label only,1.0,-8.837377,-13.509256,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18253,8,13449,839,0,10.0,0,#453581,66.0,18272,,#440154
ZMA_MOLL_50276,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_50276.jpg,,ZMA_MOLL_50276,ZMA_MOLL_50276R,Shell,1.0,-14.666071,11.527611,1,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9592401636807596,0.61,0,0,18278,14,7769,11812,0,36.0,0,#1e9d89,66.0,18272,,#f1e51d
RMNH_MOL_313680_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_313680_1.jpg,,RMNH_MOL_313680_1,RMNH_MOL_313680_1R,Label only,1.0,-15.936346,5.6469536,0,,0,#fde725,#393b79,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18267,11,6953,2794,2,5.0,1,#481c6e,66.0,18272,,#440154
RMNH_MOL_223564,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_223564.jpg,,RMNH_MOL_223564,RMNH_MOL_223564R,Shell,1.0,-8.008193,12.43845,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9542821200621412,0.61,0,0,18274,14,16358,7717,0,0.0,0,#440154,66.0,18272,,#f1e51d
ZMA_MOLL_56923,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_56923.jpg,,ZMA_MOLL_56923,ZMA_MOLL_56923R,Shell,1.0,-8.7327,11.832216,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9201488702744466,0.61,0,0,18278,18,6209,11813,7,21.0,1,#32658e,66.0,18272,,#d8e219
RMNH_MOL_232402,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_232402.jpg,,RMNH_MOL_232402,RMNH_MOL_232402R,Shell,1.0,-13.766158,11.435587,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.934527445101716,0.61,0,0,18278,17,4075,18261,3,3.0,1,#471164,66.0,18272,,#e5e419
ZMA_MOLL_346338,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_346338.jpg,,ZMA_MOLL_346338,ZMA_MOLL_346338R,Shell,1.0,-5.744499,11.969345,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.8436799616452881,0.61,0,0,18276,24,15180,9020,11,9.0,3,#46307e,66.0,18272,,#a2da37
RMNH_MOL_175903,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_175903.jpg,,RMNH_MOL_175903,RMNH_MOL_175903R,Shell,1.0,-18.069994,7.5282974,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,10,3526,18262,4,4.0,1,#481769,66.0,18272,,#440154
RMNH_MOL_319891_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_319891_1.jpg,,RMNH_MOL_319891_1,RMNH_MOL_319891_1R,,0.047418132,-17.955996,11.464478,1,,0,#471063,#AAAAAA,,,,,-inf,18272,66.0,0.0,0.61,0,0,18276,21,9378,9021,10,47.0,2,#50c46a,66.0,18272,,#440154
RMNH_MOL_223945,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_223945.jpg,,RMNH_MOL_223945,RMNH_MOL_223945R,Shell,1.0,-13.658452,13.356331,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9488576144719304,0.61,0,0,18267,17,4818,2529,0,5.0,0,#481c6e,66.0,18272,,#ece51b
RMNH_MOL_234609_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_234609_1.jpg,,RMNH_MOL_234609_1,RMNH_MOL_234609_1R,Shell,1.0,-6.132169,-16.796484,1,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.8354903766335195,0.61,0,0,18274,12,10499,6354,36,1.0,3,#450559,66.0,18272,,#a2da37
ZMA_MOLL_104288,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_104288.jpg,,ZMA_MOLL_104288,ZMA_MOLL_104288R,Shell,1.0,-9.296889,12.767452,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18275,15,15452,8969,2,18.0,1,#38598c,66.0,18272,,#440154
ZMA_MOLL_45574,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_45574.jpg,,ZMA_MOLL_45574,ZMA_MOLL_45574R,Shell,1.0,-10.058354,9.990456,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18266,10,7114,2254,0,5.0,0,#481c6e,66.0,18272,,#440154
RMNH_MOL_186021,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_186021.jpg,,RMNH_MOL_186021,RMNH_MOL_186021R,Shell,1.0,-12.850216,15.696953,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18273,10,7399,6334,8,11.0,1,#443a83,66.0,18272,,#440154
ZMA_MOLL_99092,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_99092.jpg,,ZMA_MOLL_99092,ZMA_MOLL_99092R,Shell,1.0,-5.901415,15.509457,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,21,15052,18258,0,18.0,0,#38598c,66.0,18272,,#440154
RMNH_MOL_184338,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_184338.jpg,,RMNH_MOL_184338,RMNH_MOL_184338R,Shell,1.0,-11.308867,14.980183,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9567986764695772,0.61,0,0,18276,14,11074,9027,0,2.0,0,#460b5e,66.0,18272,,#f1e51d
ZMA_MOLL_68076,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_68076.jpg,,ZMA_MOLL_68076,ZMA_MOLL_68076R,Shell,1.0,-13.285784,19.341953,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9401069636713306,0.61,0,0,18278,11,11942,18259,54,0.0,3,#440154,66.0,18272,,#e5e419
RMNH_MOL_216407,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_216407.jpg,,RMNH_MOL_216407,RMNH_MOL_216407R,Shell,1.0,-16.031322,10.099171,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18234,13,2532,389,2,4.0,1,#481769,66.0,18272,,#440154
RMNH_MOL_219630,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_219630.jpg,,RMNH_MOL_219630,RMNH_MOL_219630R,Shell,0.7084840888610396,-7.358761,14.323402,0,,0,#44bf70,#9c9ede,,0.71,"Label only,Tube","0.15,0.14",1.1616287116386113,18272,66.0,0.9323745797531302,0.61,0,0,18271,13,5595,4470,3,33.0,1,#20928c,66.0,18272,,#dfe318
RMNH_MOL_150445_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_150445_1.jpg,,RMNH_MOL_150445_1,RMNH_MOL_150445_1R,Shell,1.0,-6.0234165,11.348875,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9350403342349376,0.61,0,0,18271,20,14756,4469,0,55.0,0,#98d83e,66.0,18272,,#e5e419
ZMA_MOLL_97095,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_97095.jpg,,ZMA_MOLL_97095,ZMA_MOLL_97095R,Shell,1.0,-10.331923,16.965603,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,15,13969,18260,11,0.0,1,#440154,66.0,18272,,#440154
RMNH_MOL_178279,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_178279.jpg,,RMNH_MOL_178279,RMNH_MOL_178279R,Shell,1.0,-9.709906,12.1359215,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.950795278109608,0.61,0,0,18268,17,14287,3123,5,1.0,2,#450559,66.0,18272,,#ece51b
