,label,count
15,"Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Deltote,Deltote uncula",4
190,"Animalia,Arthropoda,Insecta,Trichoptera,Lepidoptera",4
53,"Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tipulidae",4
101,"Animalia,Arthropoda,Insecta,Trichoptera,Lepidoptera,Crambidae,Leptoceridae",4
222,"Animalia,Arthropoda,Insecta,Coleoptera,Carabidae",4
135,"Animalia,Arthropoda,Insecta,Orthoptera,Acrididae",4
152,"Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Leptoceridae",4
126,"Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae",5
103,"Animalia,Arthropoda,Insecta,Diptera,Tabanidae",5
125,"Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coreus",5
106,"Animalia,Arthropoda,Insecta,Ephemeroptera,Trichoptera,Leptoceridae",5
175,"Animalia,Arthropoda,Insecta,Dermaptera",6
84,"Animalia,Arthropoda,Insecta,Diptera,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata",6
186,"Animalia,Arthropoda,Insecta,Lepidoptera,Neuroptera,Chrysopidae",6
123,"Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae",6
63,"Animalia,Arthropoda,Insecta,Diptera,Calliphoridae",6
148,"Animalia,Arthropoda,Insecta,Arachnida,Araneae,Tetragnathidae",6
62,"No animalia,Diptera",7
235,"Animalia,Arthropoda,Insecta,Psocodea",7
217,"Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Eilema",7
86,"Animalia,Arthropoda,Insecta,Arachnida,Araneae",8
140,"Animalia,Arthropoda,Insecta,Lepidoptera,Leptoceridae",8
200,"Animalia,Arthropoda,Insecta,Diptera,Empididae",8
216,"Animalia,Arthropoda,Insecta,Neuroptera",9
229,"Animalia,Arthropoda,Insecta,Lepidoptera,Hepialidae,Triodia,Triodia sylvina",9
107,"Animalia,Arthropoda,Insecta,Ephemeroptera,Leptoceridae",9
131,"Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coreus,Coreus marginatus",9
73,"Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Phlogophora,Phlogophora meticulosa",10
99,"Animalia,Arthropoda,Insecta,Diptera,Hymenoptera,Ptychopteridae",10
244,"Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa,Panorpa germanica",11
161,"Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae",11
79,"Animalia,Arthropoda,Insecta,Trichoptera,Diptera,Chironomidae,Leptoceridae",12
202,"Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Spilosoma",12
22,"Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Plusia,Plusia festucae",12
164,"Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Deltote,Deltote bankiana",12
61,"Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus",12
113,"Animalia,Arthropoda,Insecta,Diptera,Lepidoptera,Chironomidae",12
91,"Animalia,Arthropoda,Arachnida,Diptera,Araneae",12
207,"Animalia,Arachnida",13
87,"Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Synaphe,Synaphe punctalis",13
78,"Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Limoniidae",15
165,"Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae",15
46,"Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae",15
224,"Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae",15
215,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta",16
178,"Animalia,Arthropoda,Insecta,Hymenoptera,Apidae",17
12,"Animalia,Arthropoda,Insecta,Diptera,Culicidae",19
241,"Animalia,Arthropoda,Insecta,Diptera,Sepsidae",19
116,"Animalia,Mollusca,Gastropoda",19
109,"Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus",19
35,"Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae",19
138,"Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa",19
124,"Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Pentatoma",20
220,"Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae",23
114,"Animalia,Arthropoda,Insecta,Trichoptera,Diptera,Leptoceridae",24
95,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania hortulata",25
223,"Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae",25
242,"Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa,Panorpa vulgaris",25
66,"Animalia,Arthropoda,Insecta,Orthoptera",27
221,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea",29
51,"Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus",32
209,"Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae",32
43,"Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae",33
37,"Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae",33
60,"Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae",33
32,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Cydalima,Cydalima perspectalis",37
212,"Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae",38
210,"Animalia,Arachnida,Opiliones",39
39,"Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma",40
38,"Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura",40
67,"Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae",41
92,"Animalia,Arthropoda,Insecta,Trichoptera,Lepidoptera,Leptoceridae",42
59,"Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae",42
55,"Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ophion",43
52,"Animalia,Arthropoda,Insecta,Lepidoptera,Cossidae,Phragmataecia,Phragmataecia castaneae",44
25,"Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euproctis",45
153,"Animalia,Arthropoda,Insecta,Chironomidae",46
21,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia",50
7,"Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta",52
70,"Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis",53
54,"Animalia,Arthropoda,Arachnida,Opiliones",54
49,"Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria dispar",56
233,"Animalia,Arthropoda,Insecta,Diptera,Fanniidae",57
48,"Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Rivula,Rivula sericealis",59
65,"Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans",60
28,"Animalia,Arthropoda,Arachnida",61
47,"Animalia,Arthropoda,Insecta,Diptera,Syrphidae",67
6,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomaspilis,Lomaspilis marginata",68
90,"Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae",69
214,"Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae",71
218,"Animalia,Arthropoda,Insecta,Hemiptera,Corixidae",72
108,"Animalia,Arthropoda,Insecta,Hemiptera",74
117,"Animalia,Arthropoda,Insecta,Limoniidae",75
64,"Animalia,Limoniidae",77
226,"Animalia,Arthropoda,Insecta,Trichoptera,Hydroptilidae",83
112,"Animalia,Arthropoda,Insecta,Caenidae",85
104,"Animalia,Arthropoda,Limoniidae",86
24,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata",90
19,"Animalia,Diptera",99
26,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,Elophila nymphaeata",103
36,"Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae",106
33,"Animalia,Arthropoda,Insecta,Orthoptera,Phaneropteridae,Leptophyes,Leptophyes punctatissima",109
45,"Animalia,Arthropoda,Insecta,Diptera,Muscidae",123
219,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,Chrysoteuchia culmella",129
133,"Animalia,Arthropoda,Diptera,Limoniidae",133
40,"Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae",139
225,"Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Agapeta,Agapeta hamana",140
203,"Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae",144
23,"Animalia,Arthropoda,Insecta,Neuroptera,Chrysopidae",147
20,"Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae",156
41,"Animalia,Arthropoda,Insecta,Diptera,Ptychopteridae",157
201,"Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae",158
139,"Animalia,Arthropoda,Insecta,Leptoceridae",160
50,"Animalia,Arthropoda,Insecta,Coleoptera",161
197,"Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae",161
121,"Animalia,Arthropoda,Lepidoptera",175
13,"Animalia,Arthropoda",177
111,"Animalia,Arthropoda,Diptera",180
5,"Animalia,Lepidoptera",184
30,"Animalia,Arthropoda,Arachnida,Araneae,Araneidae",185
17,"Animalia,Arthropoda,Insecta,Ephemeroptera",188
71,"Animalia,Arthropoda,Insecta,Hemiptera,Miridae",199
198,"Animalia,Entognatha,Collembola",202
239,"Animalia,Arthropoda,Insecta,Hymenoptera,Parasitica indet.",205
18,"Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae",221
34,"Animalia,Arthropoda,Arachnida,Araneae",232
206,"Animalia,Gastropoda",250
11,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae",258
204,"Animalia,Arachnida,Araneae",261
31,"Animalia,Arthropoda,Insecta,Trichoptera",293
9,"Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae",317
213,"Animalia,Arthropoda,Insecta,Hemiptera,Aphididae",453
8,"Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae",453
211,"Animalia,Arthropoda,Insecta,Diptera,Psychodidae",475
205,"Animalia,Arthropoda,Insecta,Hemiptera,Auchenorrhyncha indet.",483
69,"Animalia,Arthropoda,Insecta,Hymenoptera",552
3,No animalia,863
199,"Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae",960
29,"Animalia,Arthropoda,Insecta,Diptera,Tipulidae",1013
1,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae",1057
0,Animalia,1089
4,"Animalia,Arthropoda,Insecta,Lepidoptera",1145
16,"Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae",1198
14,"Animalia,Arthropoda,Insecta,Diptera,Limoniidae",1296
27,"Animalia,Arthropoda,Insecta",2553
10,"Animalia,Arthropoda,Insecta,Diptera",2695
208,"Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae",3070
44,"Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae",10422
2,"Animalia,Arthropoda,Insecta,Diptera,Chironomidae",13438
