image_id,label,filename,set,uid,record_id,label_predicted,score_predicted,e_0,e_1,in_test,label_true,labeled,color_prob,color_class,dp_is_ldp,dp_depth,dp_depth_alt,dp_parent,display_order
255_20210805153929,"0,1",/mnt/big/indeed/diopsis_quality/images/255_20210805153929.jpg,,255_20210805153929,255_20210805153929R,,0.0,3.2781334,-10.780647,0,,0,#440154,#AAAAAA,0,68468,21,9045,68461
254_20220907195521,"0,1",/mnt/big/indeed/diopsis_quality/images/254_20220907195521.jpg,,254_20220907195521,254_20220907195521R,,0.0,2.3516235,4.546463,0,,0,#440154,#AAAAAA,0,68463,15,62636,24549
300_20240803010621,"0,1",/mnt/big/indeed/diopsis_quality/images/300_20240803010621.jpg,,300_20240803010621,300_20240803010621R,,0.0,-2.5156708,5.3181,0,,0,#440154,#AAAAAA,0,68458,20,53461,11192
291_20230817110123,"0,1",/mnt/big/indeed/diopsis_quality/images/291_20230817110123.jpg,,291_20230817110123,291_20230817110123R,,0.0,-1.543045,-5.1300144,0,,0,#440154,#AAAAAA,0,68466,19,4366,34480
228_20230622121213,"0,1",/mnt/big/indeed/diopsis_quality/images/228_20230622121213.jpg,,228_20230622121213,228_20230622121213R,,0.0,-1.3024044,-4.6616135,0,,0,#440154,#AAAAAA,0,68468,12,43396,45096
332_20230917004806,"0,1",/mnt/big/indeed/diopsis_quality/images/332_20230917004806.jpg,,332_20230917004806,332_20230917004806R,,0.0,3.2243366,0.9937134,0,,0,#440154,#AAAAAA,0,68466,7,51467,45074
366_20220910191445,"0,1",/mnt/big/indeed/diopsis_quality/images/366_20220910191445.jpg,,366_20220910191445,366_20220910191445R,,0.0044126813,-16.058283,1.0456963,0,,0,#440154,#AAAAAA,0,68466,15,19703,34448
293_20211203042229,"0,1",/mnt/big/indeed/diopsis_quality/images/293_20211203042229.jpg,,293_20211203042229,293_20211203042229R,,0.03799793,4.8895264,19.572037,0,,0,#460b5e,#AAAAAA,0,68465,12,19908,29485
363_20220904043848,"0,1",/mnt/big/indeed/diopsis_quality/images/363_20220904043848.jpg,,363_20220904043848,363_20220904043848R,,0.0019317183,-0.2431736,6.1334496,0,,0,#440154,#AAAAAA,0,68468,24,2981,68460
329_20220806195256,"0,1",/mnt/big/indeed/diopsis_quality/images/329_20220806195256.jpg,,329_20220806195256,329_20220806195256R,,0.0,-1.7994671,-4.3276424,0,,0,#440154,#AAAAAA,0,68421,9,4665,1464
212_20220628145017,"0,1",/mnt/big/indeed/diopsis_quality/images/212_20220628145017.jpg,,212_20220628145017,212_20220628145017R,,0.0,-12.559172,-5.910119,0,,0,#440154,#AAAAAA,0,68468,26,23759,45093
308_20230820205854,"0,1",/mnt/big/indeed/diopsis_quality/images/308_20230820205854.jpg,,308_20230820205854,308_20230820205854R,,0.0,1.3531284,4.771702,0,,0,#440154,#AAAAAA,0,68468,19,54347,45094
372_20240521225318,"0,1",/mnt/big/indeed/diopsis_quality/images/372_20240521225318.jpg,,372_20240521225318,372_20240521225318R,,0.0,-3.7597313,4.2132072,1,,0,#440154,#AAAAAA,0,68466,22,36226,34487
293_20230726045111,"0,1",/mnt/big/indeed/diopsis_quality/images/293_20230726045111.jpg,,293_20230726045111,293_20230726045111R,,0.032526,-2.7872238,5.044632,0,,0,#460b5e,#AAAAAA,0,68457,22,59001,11160
303_20220602190039,"0,1",/mnt/big/indeed/diopsis_quality/images/303_20220602190039.jpg,,303_20220602190039,303_20220602190039R,,0.0,4.609272,15.94754,0,,0,#440154,#AAAAAA,1,68045,14,13605,237
245_20210728082953,"0,1",/mnt/big/indeed/diopsis_quality/images/245_20210728082953.jpg,,245_20210728082953,245_20210728082953R,,0.0,-0.62121964,-8.130632,0,,0,#440154,#AAAAAA,0,68466,16,12416,34488
274_20220830001216,"0,1",/mnt/big/indeed/diopsis_quality/images/274_20220830001216.jpg,,274_20220830001216,274_20220830001216R,,0.010681286,1.2565536,6.9438343,0,,0,#450457,#AAAAAA,0,68468,19,57292,45095
298_20220929102413,"0,1",/mnt/big/indeed/diopsis_quality/images/298_20220929102413.jpg,,298_20220929102413,298_20220929102413R,,0.0,-0.77101135,12.826847,0,,0,#440154,#AAAAAA,0,68459,20,35711,12445
327_20220811033122,"0,1",/mnt/big/indeed/diopsis_quality/images/327_20220811033122.jpg,,327_20220811033122,327_20220811033122R,,0.026546223,12.908337,1.9624863,0,,0,#46085c,#AAAAAA,0,68468,14,12060,45097
371_20230518182535,"0,1",/mnt/big/indeed/diopsis_quality/images/371_20230518182535.jpg,,371_20230518182535,371_20230518182535R,,0.0,-1.8561649,-7.792692,0,,0,#440154,#AAAAAA,0,68466,13,41073,34476
347_20230604194618,"0,1",/mnt/big/indeed/diopsis_quality/images/347_20230604194618.jpg,,347_20230604194618,347_20230604194618R,,0.0,1.8399391,-4.5878143,0,,0,#440154,#AAAAAA,0,68466,8,45666,34477
245_20210723233611,"0,1",/mnt/big/indeed/diopsis_quality/images/245_20210723233611.jpg,,245_20210723233611,245_20210723233611R,,0.0007206458,2.3062744,4.5296707,0,,0,#440154,#AAAAAA,0,68466,14,56016,34478
375_20230624182925,"0,1",/mnt/big/indeed/diopsis_quality/images/375_20230624182925.jpg,,375_20230624182925,375_20230624182925R,,0.0,-2.1065598,-6.7153683,0,,0,#440154,#AAAAAA,0,68468,23,42795,45098
286_20240510032428,"0,1",/mnt/big/indeed/diopsis_quality/images/286_20240510032428.jpg,,286_20240510032428,286_20240510032428R,,0.03893711,3.2880516,10.6959305,0,,0,#460b5e,#AAAAAA,0,68466,14,20929,34485
221_20240701125623,"0,1",/mnt/big/indeed/diopsis_quality/images/221_20240701125623.jpg,,221_20240701125623,221_20240701125623R,,0.0,-6.9314404,7.0381317,0,,0,#440154,#AAAAAA,0,68466,11,53895,34486
376_20230826234445,"0,1",/mnt/big/indeed/diopsis_quality/images/376_20230826234445.jpg,,376_20230826234445,376_20230826234445R,,0.0,-1.6630802,4.352789,0,,0,#440154,#AAAAAA,0,68450,14,4822,6024
218_20240702062059,"0,1",/mnt/big/indeed/diopsis_quality/images/218_20240702062059.jpg,,218_20240702062059,218_20240702062059R,,0.016372211,-7.3355627,9.822548,0,,0,#450457,#AAAAAA,0,68463,9,55445,24555
215_20210729040322,"0,1",/mnt/big/indeed/diopsis_quality/images/215_20210729040322.jpg,,215_20210729040322,215_20210729040322R,,0.0,-0.7825031,3.3797817,0,,0,#440154,#AAAAAA,0,68453,17,22686,7676
248_20220715173648,"0,1",/mnt/big/indeed/diopsis_quality/images/248_20220715173648.jpg,,248_20220715173648,248_20220715173648R,,0.0,-2.543148,-12.249577,0,,0,#440154,#AAAAAA,0,68466,18,41529,34484
369_20230512115217,"0,1",/mnt/big/indeed/diopsis_quality/images/369_20230512115217.jpg,,369_20230512115217,369_20230512115217R,,0.0,5.478775,-9.932818,0,,0,#440154,#AAAAAA,0,68464,16,1917,24565
302_20220808133328,"0,1",/mnt/big/indeed/diopsis_quality/images/302_20220808133328.jpg,,302_20220808133328,302_20220808133328R,,0.0,-2.9245453,-6.622967,0,,0,#440154,#AAAAAA,0,68430,12,45641,1869
381_20220829235220,"0,1",/mnt/big/indeed/diopsis_quality/images/381_20220829235220.jpg,,381_20220829235220,381_20220829235220R,,0.0,1.4789124,6.82967,0,,0,#440154,#AAAAAA,0,68458,18,67293,12387
289_20210719103616,"0,1",/mnt/big/indeed/diopsis_quality/images/289_20210719103616.jpg,,289_20210719103616,289_20210719103616R,,0.0,-10.028479,2.57263,0,,0,#440154,#AAAAAA,0,68456,13,45291,9248
367_20220929230109,"0,1",/mnt/big/indeed/diopsis_quality/images/367_20220929230109.jpg,,367_20220929230109,367_20220929230109R,,0.0,1.4648819,2.85046,0,,0,#440154,#AAAAAA,0,68460,16,42804,15640
262_20210913144517,"0,1",/mnt/big/indeed/diopsis_quality/images/262_20210913144517.jpg,,262_20210913144517,262_20210913144517R,,0.0,-0.92158127,-9.037739,1,,0,#440154,#AAAAAA,0,68468,27,58535,45078
397_20230906224911,"0,1",/mnt/big/indeed/diopsis_quality/images/397_20230906224911.jpg,,397_20230906224911,397_20230906224911R,,0.0,1.5592117,5.1894493,0,,0,#440154,#AAAAAA,0,68456,11,51820,9249
210_20230604123634,"0,1",/mnt/big/indeed/diopsis_quality/images/210_20230604123634.jpg,,210_20230604123634,210_20230604123634R,,0.0,-12.134623,-4.815714,0,,0,#440154,#AAAAAA,0,68468,23,15847,45079
316_20230503045458,"0,1",/mnt/big/indeed/diopsis_quality/images/316_20230503045458.jpg,,316_20230503045458,316_20230503045458R,,0.038561568,2.4255867,12.555065,1,,0,#460b5e,#AAAAAA,0,68465,22,62437,34425
265_20210726115100,"0,1",/mnt/big/indeed/diopsis_quality/images/265_20210726115100.jpg,,265_20210726115100,265_20210726115100R,,0.0,-1.0901966,-13.822172,0,,0,#440154,#AAAAAA,0,68468,21,65907,45080
245_20210729084453,"0,1",/mnt/big/indeed/diopsis_quality/images/245_20210729084453.jpg,,245_20210729084453,245_20210729084453R,,0.0,0.3550682,-8.8720665,0,,0,#440154,#AAAAAA,0,68468,18,43754,45081
281_20220825011300,"0,1",/mnt/big/indeed/diopsis_quality/images/281_20220825011300.jpg,,281_20220825011300,281_20220825011300R,,0.0,-3.8375301,4.494217,0,,0,#440154,#AAAAAA,0,68462,16,12052,18019
228_20230612160616,"0,1",/mnt/big/indeed/diopsis_quality/images/228_20230612160616.jpg,,228_20230612160616,228_20230612160616R,,0.0,10.677546,2.2272015,0,,0,#440154,#AAAAAA,0,68442,14,47747,3282
380_20230512214308,"0,1",/mnt/big/indeed/diopsis_quality/images/380_20230512214308.jpg,,380_20230512214308,380_20230512214308R,,0.0,-1.4986401,3.3129158,1,,0,#440154,#AAAAAA,0,68468,18,19518,45085
319_20220613032747,"0,1",/mnt/big/indeed/diopsis_quality/images/319_20220613032747.jpg,,319_20220613032747,319_20220613032747R,,0.0,1.6705303,5.445221,0,,0,#440154,#AAAAAA,0,68465,14,45168,29479
335_20231106040736,"0,1",/mnt/big/indeed/diopsis_quality/images/335_20231106040736.jpg,,335_20231106040736,335_20231106040736R,,0.0069487304,13.138935,1.9905701,0,,0,#440154,#AAAAAA,0,68468,16,37778,45086
248_20240418103335,"0,1",/mnt/big/indeed/diopsis_quality/images/248_20240418103335.jpg,,248_20240418103335,248_20240418103335R,,0.0,-2.2863274,12.050137,0,,0,#440154,#AAAAAA,0,68450,13,49035,6037
208_20210802070836,"0,1",/mnt/big/indeed/diopsis_quality/images/208_20210802070836.jpg,,208_20210802070836,208_20210802070836R,,0.0,0.7966614,-11.850306,1,,0,#440154,#AAAAAA,0,68468,31,32845,45087
264_20210821095743,"0,1",/mnt/big/indeed/diopsis_quality/images/264_20210821095743.jpg,,264_20210821095743,264_20210821095743R,,0.0,-14.941473,-2.5419846,0,,0,#440154,#AAAAAA,0,68447,14,16441,4569
334_20220328014748,"0,1",/mnt/big/indeed/diopsis_quality/images/334_20220328014748.jpg,,334_20220328014748,334_20220328014748R,,0.0,7.62949,12.840591,0,,0,#440154,#AAAAAA,0,68466,10,68065,45075
272_20230520070308,"0,1",/mnt/big/indeed/diopsis_quality/images/272_20230520070308.jpg,,272_20230520070308,272_20230520070308R,,0.0,-2.1060352,12.639259,0,,0,#440154,#AAAAAA,0,68465,19,51643,34424
215_20210912112602,"0,1",/mnt/big/indeed/diopsis_quality/images/215_20210912112602.jpg,,215_20210912112602,215_20210912112602R,,0.0,-2.1625347,-10.719508,0,,0,#440154,#AAAAAA,0,68468,25,4818,45091
288_20210719064011,"0,1",/mnt/big/indeed/diopsis_quality/images/288_20210719064011.jpg,,288_20210719064011,288_20210719064011R,,0.014336517,11.293571,6.5948906,0,,0,#450457,#AAAAAA,0,68459,13,64571,13862
383_20240728091238,"0,1",/mnt/big/indeed/diopsis_quality/images/383_20240728091238.jpg,,383_20240728091238,383_20240728091238R,,0.0,-5.2710047,-10.1255,0,,0,#440154,#AAAAAA,0,68468,18,65923,45092
344_20231122131407,"0,1",/mnt/big/indeed/diopsis_quality/images/344_20231122131407.jpg,,344_20231122131407,344_20231122131407R,,0.0,-1.7207699,12.891281,0,,0,#440154,#AAAAAA,0,68465,14,49620,34441
308_20210821133042,"0,1",/mnt/big/indeed/diopsis_quality/images/308_20210821133042.jpg,,308_20210821133042,308_20210821133042R,,0.0,-2.1298618,-9.76861,0,,0,#440154,#AAAAAA,0,68468,28,23131,45082
230_20210818221609,"0,1",/mnt/big/indeed/diopsis_quality/images/230_20210818221609.jpg,,230_20210818221609,230_20210818221609R,,0.010533648,0.37876892,6.015976,0,,0,#450457,#AAAAAA,0,68468,16,1120,45083
360_20230905105755,"0,1",/mnt/big/indeed/diopsis_quality/images/360_20230905105755.jpg,,360_20230905105755,360_20230905105755R,,0.0,-2.2742538,-8.193836,0,,0,#440154,#AAAAAA,0,68468,13,686,45084
371_20220602132411,"0,1",/mnt/big/indeed/diopsis_quality/images/371_20220602132411.jpg,,371_20220602132411,371_20220602132411R,,0.00769752,10.832453,-2.9654503,0,,0,#440154,#AAAAAA,0,68462,14,10420,18020
231_20240623111103,"0,1",/mnt/big/indeed/diopsis_quality/images/231_20240623111103.jpg,,231_20240623111103,231_20240623111103R,,0.0,-2.0190697,-6.29568,0,,0,#440154,#AAAAAA,0,68464,13,9159,24616
269_20230819074929,"0,1",/mnt/big/indeed/diopsis_quality/images/269_20230819074929.jpg,,269_20230819074929,269_20230819074929R,,0.0,-9.951109,-0.3926468,0,,0,#440154,#AAAAAA,0,68468,9,9406,68406
249_20210904214303,"0,1",/mnt/big/indeed/diopsis_quality/images/249_20210904214303.jpg,,249_20210904214303,249_20210904214303R,,0.0,0.79301834,6.6352234,0,,0,#440154,#AAAAAA,0,68466,16,25697,34445
265_20220706100804,"0,1",/mnt/big/indeed/diopsis_quality/images/265_20220706100804.jpg,,265_20220706100804,265_20220706100804R,,0.0,-0.12198639,-13.351616,0,,0,#440154,#AAAAAA,0,68466,19,33131,34446
228_20230531173145,"0,1",/mnt/big/indeed/diopsis_quality/images/228_20230531173145.jpg,,228_20230531173145,228_20230531173145R,,0.0,-1.1628475,-9.889238,0,,0,#440154,#AAAAAA,0,68462,27,22358,20866
232_20230502143628,"0,1",/mnt/big/indeed/diopsis_quality/images/232_20230502143628.jpg,,232_20230502143628,232_20230502143628R,,0.0,-4.3916903,-4.137003,0,,0,#440154,#AAAAAA,0,68468,12,43755,68407
332_20210805094535,"0,1",/mnt/big/indeed/diopsis_quality/images/332_20210805094535.jpg,,332_20210805094535,332_20210805094535R,,0.02654482,12.600922,6.7723675,0,,0,#46085c,#AAAAAA,0,68466,21,66274,34447
385_20230908181512,"0,1",/mnt/big/indeed/diopsis_quality/images/385_20230908181512.jpg,,385_20230908181512,385_20230908181512R,,0.0,2.5640793,-9.452425,0,,0,#440154,#AAAAAA,0,68468,18,35790,68441
267_20210725062504,"0,1",/mnt/big/indeed/diopsis_quality/images/267_20210725062504.jpg,,267_20210725062504,267_20210725062504R,,0.0,1.2504692,-10.685909,0,,0,#440154,#AAAAAA,0,68459,35,23889,13865
324_20240808190858,"0,1",/mnt/big/indeed/diopsis_quality/images/324_20240808190858.jpg,,324_20240808190858,324_20240808190858R,,0.026499102,5.383381,13.324196,0,,0,#46085c,#AAAAAA,0,68468,15,60428,68412
350_20220713162201,"0,1",/mnt/big/indeed/diopsis_quality/images/350_20220713162201.jpg,,350_20220713162201,350_20220713162201R,,0.0,-1.7560692,-10.485921,0,,0,#440154,#AAAAAA,0,68466,28,18354,45068
213_20210730075508,"0,1",/mnt/big/indeed/diopsis_quality/images/213_20210730075508.jpg,,213_20210730075508,213_20210730075508R,,0.0,-0.4811268,-13.650234,1,,0,#440154,#AAAAAA,0,68468,22,49268,68405
236_20240619012039,"0,1",/mnt/big/indeed/diopsis_quality/images/236_20240619012039.jpg,,236_20240619012039,236_20240619012039R,,0.0,-3.8929348,3.622757,0,,0,#440154,#AAAAAA,0,68460,13,18328,13889
267_20210723174206,"0,1",/mnt/big/indeed/diopsis_quality/images/267_20210723174206.jpg,,267_20210723174206,267_20210723174206R,,0.0,-0.61032104,-13.73807,0,,0,#440154,#AAAAAA,0,68466,21,18651,34444
362_20240412004406,"0,1",/mnt/big/indeed/diopsis_quality/images/362_20240412004406.jpg,,362_20240412004406,362_20240412004406R,,0.0,-2.1378632,-5.848671,0,,0,#440154,#AAAAAA,0,68458,16,60227,11167
265_20210805184343,"0,1",/mnt/big/indeed/diopsis_quality/images/265_20210805184343.jpg,,265_20210805184343,265_20210805184343R,,0.0,-0.8769264,-10.354103,0,,0,#440154,#AAAAAA,0,68455,28,16475,8421
323_20220904064701,"0,1",/mnt/big/indeed/diopsis_quality/images/323_20220904064701.jpg,,323_20220904064701,323_20220904064701R,,0.0,-5.605315,4.564335,1,,0,#440154,#AAAAAA,0,68466,15,32311,34475
222_20210920032313,"0,1",/mnt/big/indeed/diopsis_quality/images/222_20210920032313.jpg,,222_20210920032313,222_20210920032313R,,0.0,1.6086292,4.44211,0,,0,#440154,#AAAAAA,0,68468,24,63394,68408
293_20211217095709,"0,1",/mnt/big/indeed/diopsis_quality/images/293_20211217095709.jpg,,293_20211217095709,293_20211217095709R,,0.0,5.59655,16.028107,0,,0,#440154,#AAAAAA,0,68468,29,20842,68409
233_20240709163706,"0,1",/mnt/big/indeed/diopsis_quality/images/233_20240709163706.jpg,,233_20240709163706,233_20240709163706R,,0.0,-2.3592186,-7.5482645,0,,0,#440154,#AAAAAA,0,68468,12,66628,68410
224_20230609011045,"0,1",/mnt/big/indeed/diopsis_quality/images/224_20230609011045.jpg,,224_20230609011045,224_20230609011045R,,0.00793764,-6.901684,5.618084,1,,0,#440154,#AAAAAA,0,68441,10,62756,3089
239_20240705141613,"0,1",/mnt/big/indeed/diopsis_quality/images/239_20240705141613.jpg,,239_20240705141613,239_20240705141613R,,0.0,-3.7551155,-7.050392,0,,0,#440154,#AAAAAA,1,68449,12,35139,5267
327_20221204175627,"0,1",/mnt/big/indeed/diopsis_quality/images/327_20221204175627.jpg,,327_20221204175627,327_20221204175627R,,0.0,11.562841,2.7586632,0,,0,#440154,#AAAAAA,0,68468,17,48087,68411
359_20230922142302,"0,1",/mnt/big/indeed/diopsis_quality/images/359_20230922142302.jpg,,359_20230922142302,359_20230922142302R,,0.0,-4.7568836,-3.6442986,0,,0,#440154,#AAAAAA,0,68458,12,15378,11172
383_20240724015331,"0,1",/mnt/big/indeed/diopsis_quality/images/383_20240724015331.jpg,,383_20240724015331,383_20240724015331R,,0.0,8.030674,15.022682,0,,0,#440154,#AAAAAA,0,68459,23,57448,13868
329_20210805114224,"0,1",/mnt/big/indeed/diopsis_quality/images/329_20210805114224.jpg,,329_20210805114224,329_20210805114224R,,0.034649838,12.56398,6.8066444,0,,0,#460b5e,#AAAAAA,0,68468,19,12992,68418
250_20211129084417,"0,1",/mnt/big/indeed/diopsis_quality/images/250_20211129084417.jpg,,250_20211129084417,250_20211129084417R,,0.005982147,12.029312,6.709116,0,,0,#440154,#AAAAAA,0,68440,9,15817,3084
309_20210809172942,"0,1",/mnt/big/indeed/diopsis_quality/images/309_20210809172942.jpg,,309_20210809172942,309_20210809172942R,,0.0,3.5498505,-9.470322,0,,0,#440154,#AAAAAA,0,68468,23,16872,68419
345_20230810141056,"0,1",/mnt/big/indeed/diopsis_quality/images/345_20230810141056.jpg,,345_20230810141056,345_20230810141056R,,0.0,-1.9355888,-12.90922,1,,0,#440154,#AAAAAA,0,68457,18,16952,11153
246_20220716201228,"0,1",/mnt/big/indeed/diopsis_quality/images/246_20220716201228.jpg,,246_20220716201228,246_20220716201228R,,0.0,-1.3941593,-4.2199116,0,,0,#440154,#AAAAAA,0,68468,21,4116,68420
342_20230916152208,"0,1",/mnt/big/indeed/diopsis_quality/images/342_20230916152208.jpg,,342_20230916152208,342_20230916152208R,,0.0,1.0516567,-5.063942,0,,0,#440154,#AAAAAA,0,68466,9,27134,34474
389_20230829162900,"0,1",/mnt/big/indeed/diopsis_quality/images/389_20230829162900.jpg,,389_20230829162900,389_20230829162900R,,0.0,-0.3647766,-13.218702,0,,0,#440154,#AAAAAA,0,68443,18,52233,3506
335_20231016020940,"0,1",/mnt/big/indeed/diopsis_quality/images/335_20231016020940.jpg,,335_20231016020940,335_20231016020940R,,0.011541847,13.174458,2.0532494,0,,0,#450457,#AAAAAA,0,68468,16,52012,68375
321_20230804150728,"0,1",/mnt/big/indeed/diopsis_quality/images/321_20230804150728.jpg,,321_20230804150728,321_20230804150728R,,0.0,1.0808678,-5.278596,0,,0,#440154,#AAAAAA,0,68448,10,29008,5204
239_20230615150717,"0,1",/mnt/big/indeed/diopsis_quality/images/239_20230615150717.jpg,,239_20230615150717,239_20230615150717R,,0.0,-4.0580034,-4.013912,0,,0,#440154,#AAAAAA,0,68437,9,16271,2615
354_20220913092718,"0,1",/mnt/big/indeed/diopsis_quality/images/354_20220913092718.jpg,,354_20220913092718,354_20220913092718R,,0.0,-2.1453037,-12.1341,0,,0,#440154,#AAAAAA,0,68468,23,41746,68376
398_20240730103657,"0,1",/mnt/big/indeed/diopsis_quality/images/398_20240730103657.jpg,,398_20240730103657,398_20240730103657R,,0.0,-2.235691,-5.987049,0,,0,#440154,#AAAAAA,0,68468,19,65484,68377
211_20210829181217,"0,1",/mnt/big/indeed/diopsis_quality/images/211_20210829181217.jpg,,211_20210829181217,211_20210829181217R,,0.0,-1.0783501,-11.324003,0,,0,#440154,#AAAAAA,0,68468,28,38067,68378
316_20220529134035,"0,1",/mnt/big/indeed/diopsis_quality/images/316_20220529134035.jpg,,316_20220529134035,316_20220529134035R,,0.0,-0.28362465,12.136311,0,,0,#440154,#AAAAAA,0,68468,17,33357,68379
390_20240714151420,"0,1",/mnt/big/indeed/diopsis_quality/images/390_20240714151420.jpg,,390_20240714151420,390_20240714151420R,,0.0,-1.5044479,-14.179461,0,,0,#440154,#AAAAAA,0,68468,25,33429,68368
309_20220713145116,"0,1",/mnt/big/indeed/diopsis_quality/images/309_20220713145116.jpg,,309_20220713145116,309_20220713145116R,,0.0,-2.373022,-8.613568,0,,0,#440154,#AAAAAA,0,68457,20,2508,11150
224_20220711061256,"0,1",/mnt/big/indeed/diopsis_quality/images/224_20220711061256.jpg,,224_20220711061256,224_20220711061256R,,0.0,-5.2639675,-11.827697,0,,0,#440154,#AAAAAA,0,68464,17,12880,24609
357_20220831134418,"0,1",/mnt/big/indeed/diopsis_quality/images/357_20220831134418.jpg,,357_20220831134418,357_20220831134418R,,0.0,6.379404,2.8753052,0,,0,#440154,#AAAAAA,0,68456,11,31165,9255
265_20220507074758,"0,1",/mnt/big/indeed/diopsis_quality/images/265_20220507074758.jpg,,265_20220507074758,265_20220507074758R,,0.0,-1.1049061,-5.589608,0,,0,#440154,#AAAAAA,0,68457,20,47213,11151
379_20220831211010,"0,1",/mnt/big/indeed/diopsis_quality/images/379_20220831211010.jpg,,379_20220831211010,379_20220831211010R,,0.0042460915,2.2372913,6.387186,0,,0,#440154,#AAAAAA,0,68466,19,22597,34460
399_20230918150941,"0,1",/mnt/big/indeed/diopsis_quality/images/399_20230918150941.jpg,,399_20230918150941,399_20230918150941R,,0.0,-2.4335175,-9.373875,0,,0,#440154,#AAAAAA,0,68445,29,39489,4221
235_20230819034448,"0,1",/mnt/big/indeed/diopsis_quality/images/235_20230819034448.jpg,,235_20230819034448,235_20230819034448R,,0.0,1.3185711,6.8483047,0,,0,#440154,#AAAAAA,0,68468,21,19462,68374
251_20210807022538,"0,1",/mnt/big/indeed/diopsis_quality/images/251_20210807022538.jpg,,251_20210807022538,251_20210807022538R,,0.0,2.213848,3.2622814,0,,0,#440154,#AAAAAA,0,68464,11,30910,24610
310_20240330133634,"0,1",/mnt/big/indeed/diopsis_quality/images/310_20240330133634.jpg,,310_20240330133634,310_20240330133634R,,0.021999117,3.4844227,12.779251,0,,0,#46085c,#AAAAAA,0,68468,18,50644,68380
350_20220924195539,"0,1",/mnt/big/indeed/diopsis_quality/images/350_20220924195539.jpg,,350_20220924195539,350_20220924195539R,,0.0,-1.1507778,4.4025,0,,0,#440154,#AAAAAA,0,68465,13,36000,34439
358_20230618012909,"0,1",/mnt/big/indeed/diopsis_quality/images/358_20230618012909.jpg,,358_20230618012909,358_20230618012909R,,9.696454e-05,-1.179388,4.4037666,0,,0,#440154,#AAAAAA,0,68466,13,36000,34458
377_20220704200746,"0,1",/mnt/big/indeed/diopsis_quality/images/377_20220704200746.jpg,,377_20220704200746,377_20220704200746R,,0.0,10.684988,-3.2473488,0,,0,#440154,#AAAAAA,0,68464,15,48794,24608
